Number,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
3042,3,8.09,37.02,1.58,9.29,6.22,4.7,0.48,9.85,14.81,0.12,1.75,0.12,46,3
3043,3,12.78,38.24,1.66,9.72,6.52,10.11,0.51,6.61,18.39,0.09,1.19,0.22,41,3
3044,3,10.23,35.22,1.85,10.19,6.6,7.4,0.5,12.47,19.36,0.1,1.18,0.19,40,3
3045,3,7.89,34.52,1.76,11.09,7.33,7.17,0.54,16.74,18.72,0.05,0.45,0.1,39,3
3046,3,9.33,36.04,1.6,8.83,5.99,8.01,0.44,11.48,30.3,0.08,0.47,0.1,58,1
3047,3,10.14,43.39,1.33,7.06,4.83,6.2,0.42,12.83,35.22,0.09,0.55,0.19,44,3
3048,3,11.49,47.69,1.48,6.9,4.87,6.93,0.42,12.34,38.36,0.06,0.36,0.1,50,3
3049,3,12.19,49.5,1.62,10.16,6.72,7.12,0.44,11.95,38.42,0.1,0.7,0.15,54,1
3050,3,10.39,44.35,1.56,10.06,6.61,6.04,0.5,15.46,40.05,0.09,0.76,0.22,61,1
3051,3,10.18,25.24,8.5,15.4,15.51,9.51,0.59,13.75,40.65,0.09,1.21,0.17,58,1
3052,3,5.6,12.17,2.27,14.58,9.6,9.96,0.51,18.82,42.45,0.11,1.63,0.1,53,1
3053,3,4.7,12.83,1.66,10.03,6.69,8.76,0.53,13.34,34.37,0.08,0.52,0.1,47,3
3054,3,4.65,12.76,1.48,8.44,5.7,7.97,0.48,12.34,35.22,0.06,0.28,0.1,44,3
3055,3,11.71,25.81,1.6,8.06,5.6,8.67,0.53,16.01,39.34,0.07,0.57,0.29,47,3
3056,3,10.07,24.04,2.12,9.21,6.62,8.73,0.48,12.19,33.82,0.06,0.41,0.1,41,3
3057,3,11.61,31.52,4.88,16.7,12.86,8.35,0.5,16.28,31.19,0.09,0.78,0.36,39,3
3058,3,8.73,18.33,4.64,16.26,11.66,10.3,0.38,17.54,29.47,0.09,0.54,0.2,36,3
3059,3,11.2,27.86,3.27,12.95,9.54,12.91,0.62,17.81,31.9,0.1,0.81,0.19,42,3
3060,3,11.03,34.97,3.18,13.74,9.89,8.92,0.64,10.39,31.37,0.14,1.43,0.32,43,3
3061,3,16.99,45.43,1.52,9.48,6.27,8.6,0.55,11.19,41.25,0.11,1.29,0.16,55,1
3062,3,12.74,30.83,1.66,10.27,6.81,9.45,0.59,13.28,34.95,0.13,0.77,0.15,50,3
3063,3,17.97,50.49,2.05,12.1,8.1,10.92,0.65,11.68,30.15,0.17,1.55,0.53,46,3
3064,3,15.48,34.84,2.07,9.15,6.55,13.53,0.58,15.88,39.82,0.11,0.8,0.16,55,1
3065,3,14.88,35.33,1.86,10.59,7.15,11.62,0.59,14.04,38.01,0.13,1.03,0.21,52,1
3066,3,20.74,37.36,1.9,8.44,6.03,14.57,0.62,15.38,39.32,0.13,0.89,0.28,50,3
3068,3,14.5,24.43,1.53,6.53,4.72,8.97,0.55,13.75,33.76,0.06,0.27,0.15,42,3
3069,3,16.65,28.51,1.43,8.32,5.59,9.77,0.66,10.86,37.34,0.1,0.43,0.12,49,3
3070,3,20.96,32.56,1.65,9.55,6.43,14.3,0.66,14.79,43.29,0.12,0.69,0.1,56,1
3071,3,21.34,35.16,1.74,10.69,7.1,13.38,0.66,14.58,45.32,0.14,1.42,0.2,61,1
3308,4,248.12,445.44,29.93,40.11,70.05,60.89,1.08,9.66,12.32,3.47,7.62,28.33,463,5
3309,4,148.47,318.1,12.04,32.77,44.81,48.33,1.17,4.9,12.08,3.47,7.42,27.97,320,4
3310,4,194.47,357.95,13.87,35.42,49.29,50.88,1.25,5.15,10.86,3.45,7.74,28.02,338,4
3311,4,214.73,276.08,18.8,41.72,60.52,54.25,1.17,6.44,12.38,2.9,6.88,26.67,395,4
3312,4,71.13,191.27,19.23,40.37,59.6,56.56,1.03,4.28,11.79,2.37,6.8,24.64,229,2
3313,4,126.19,312.7,27.26,46.16,73.42,67.83,1.37,5.91,13.68,2.49,11.07,27.32,239,2
3314,4,133.53,309.8,18.63,41.42,60.05,62.82,1.19,4.74,20.3,3,11.05,27.68,318,4
3315,4,150.33,299.12,9.42,39.46,48.88,62.45,1.13,5.8,12.62,3.24,11.41,25.08,308,4
3316,4,165.75,302.65,15.8,39.01,54.81,66.54,1.42,5.62,13.11,2.98,12.45,25.99,338,4
3317,4,221.93,295.75,14.34,39.44,53.78,67.53,1.3,5.2,14.02,2.91,12.53,26.57,356,4
3318,4,147.44,289.42,15.54,39.07,54.62,67.76,1.37,4.87,10.89,2.91,12.41,25.97,341,4
3319,4,174.03,267.13,20.75,41.44,62.18,70.6,1.45,4.39,9.84,3,12.98,26.31,271,2
3320,4,145.27,261.79,17.83,39.11,56.94,66.67,1.11,3.59,15.1,2.83,11.85,25.7,304,4
3321,4,129.13,259.59,14.12,32.27,46.39,62.85,1.15,4.98,14.08,2.85,11.89,26.93,314,4
3322,4,146.53,252.25,8.45,29.28,37.73,62.9,1.31,3.88,15.18,3.71,12.22,26.31,317,4
3323,4,144.73,251.09,16.4,37.42,53.81,68.55,1.87,7.78,12.17,10.91,13.33,29.17,318,4
3324,4,160.69,290.59,6.89,17.91,23.24,12.81,1.79,5.13,15.85,11.55,12.13,28.23,319,4
3325,4,140.05,290.75,51.16,42.09,59.61,28.02,1.77,5.17,20.13,4.12,11.75,26.22,321,4
3326,4,97.78,232.21,8.32,30.81,36.48,26.67,1.9,4.39,3.93,4.39,12.39,25.01,252,2
3327,4,90.68,250.2,26.51,28.37,54.2,30.33,1.89,5.71,3.71,4.25,11.87,25.25,235,2
3328,4,113,222.95,38.56,21.98,60.07,34.51,2.13,8.28,19.28,4.78,13.04,26.66,248,2
3329,4,137.47,260.49,38.12,21.68,56.14,33.64,2,7.71,23.6,4.8,12.76,26.69,295,2
3330,4,147.97,267.24,40.1,24.95,67.76,42.69,2.27,9.16,36.54,6.34,13.94,25.83,317,4
3331,4,151.19,271.2,59.56,29.61,89.17,32.33,1.89,8.14,31.48,4.64,12.61,24.9,328,4
3332,4,121.54,234.56,55.74,20.89,76.63,22.98,1.8,6,23.6,4.15,11.6,24.27,311,4
3333,4,89.18,178.8,54.75,5.2,59.94,14.01,1.3,4.34,24.42,3.77,10.62,23.97,234,2
3334,4,38.17,100.14,46.4,13.71,59.36,15.25,0.66,7.43,23.57,3.07,7.91,22.83,128,0
3335,4,78.81,182.69,58.44,41.92,100.36,12.81,1.05,18.04,25.52,3.8,8.97,24.21,131,0
3336,4,111.37,228.78,57.05,31.94,88.99,11.88,1.4,8.03,29.84,6.75,9.31,20.58,262,2
3337,4,83,184.32,52.17,7.07,57.11,12.53,0.97,8.07,25.07,4.35,7.79,14.11,200,0
3338,4,106.43,224.99,56.49,12.22,68.71,10.81,1.05,5.24,21.02,4.3,7.9,13.38,206,2
3339,4,144.45,295.86,54.15,31.96,85.69,11.28,1.38,11.93,29.91,5.18,9.81,15.21,314,4
3340,4,128.92,264.88,61.57,46.82,108.39,14.86,1.17,9.23,33.66,7.86,10.18,15.94,307,4
3341,4,143.36,276.23,76.45,47.59,124.04,13.14,1.87,11,32.23,7.85,11.18,17.21,318,4
3342,4,110.68,237.22,68.04,48.8,116.84,13.34,1.74,9.61,51.68,8.62,9.58,15.67,288,2
3343,4,141.64,270.82,82.14,49.18,130.87,12.55,2.31,14.29,54.87,8.3,10.98,17.59,302,4
3344,4,143.81,268.1,93.94,50.9,144.84,10.58,2.44,11.24,21.83,8.29,11.41,18.47,322,4
3345,4,137.81,263.37,100.06,50.56,150.62,9.65,2.5,9.17,24.79,9.65,11.6,18.92,316,4
3346,4,137.05,266.39,73.78,45.09,118.88,14.69,2.52,10.52,60.42,9,10.16,16.8,313,4
3347,4,129.76,268.24,83.19,41.77,124.96,15.91,2.65,15.28,52.76,11.13,11.52,18.88,306,4
3348,4,146.1,283.99,90.92,30.53,120.09,12.51,3.08,6.11,44.48,11.29,11.91,19.51,317,4
3349,4,146.1,265.34,86.92,33.22,119.97,9.54,2.91,6.23,27.76,12.97,12.59,20.81,323,4
3350,4,147.77,270.1,96.96,35.25,132.21,8.46,2.47,6.53,26.29,9.47,14.6,22.35,324,4
3351,4,119.12,232.05,79.18,23.9,103.08,6.57,1.96,8.67,30.52,8.83,11.75,19.74,296,2
3352,4,130.16,239.25,66.72,14.57,81.29,3.21,2.31,6.87,19.05,9.79,11.89,20.02,309,4
3353,4,108.22,214.5,47.23,7.36,54.59,2.19,1.48,4.54,18.64,5.09,9.61,16.63,266,2
3354,4,92.93,189.34,47.7,3.08,50.78,1,1.39,3.69,18.47,4.94,9.32,15.93,227,2
3356,4,106.08,215.78,19.15,49.15,66.48,9.95,2.41,10.52,24.02,5.45,9.64,15.73,185,0
3357,4,131.98,266.2,31.82,20.28,52.09,3.11,2.83,15.63,23.9,9.68,11.96,18.04,298,2
3358,4,117.47,236.63,38.13,19.17,57.3,2.67,2.15,6.8,20.97,12.27,12.24,19.51,304,4
3359,4,102.19,198.88,33.67,18.62,52.28,2.49,3.83,7.07,19.06,9.15,10.31,17.46,277,2
3360,4,44.98,87.5,25.9,13.03,38.91,3.09,3.75,9.09,17.91,3.94,6.9,13.09,162,0
3361,4,53.43,87.57,25.21,10.07,35.27,1.73,2.82,4.37,19.16,2.59,5.31,11.12,127,0
3362,4,66.28,141.61,24.35,16.09,40.44,0.5,1.7,4.5,16.98,3.31,5.21,16.32,116,0
3363,4,58.41,124.48,23.33,16.29,39.62,0.57,0.86,6.69,17.61,5.8,4.3,22.25,126,0
3370,4,87.22,198.96,20.54,42.63,54.36,4.86,0.96,12.91,24.44,16.18,7.27,19.43,227,2
3371,4,56.46,126.01,5.73,25.53,31.26,3.37,1.53,2.98,24.89,4.8,5.61,7.89,143,0
3372,4,72.21,157.96,6.3,26.12,32.42,3.42,2.16,3.34,25.49,4.92,7.25,8.95,122,0
3373,4,96.33,186.31,7.72,28.36,36.08,3.66,1.71,3.36,21.55,5.7,7.97,10.23,197,0
3374,4,112.36,210.37,8,28.77,36.76,3.76,1.41,3.31,20.73,7.2,9.25,11.68,235,2
3375,4,148.9,272.45,7.08,28.1,35.17,3.62,1.22,2.86,19.3,10.16,10.6,12.87,315,4
3376,4,177.53,303.42,8.73,28.78,37.51,3.81,1.37,3.44,23.38,7.56,11.05,13.57,335,4
3377,4,101.19,188.85,5.98,26.62,32.6,3.32,1.24,5.94,23.25,5.23,8.68,9.38,298,2
3378,4,100.84,199.13,5.9,27.47,33.37,3.34,1.63,3.94,23.1,8.05,9.54,7.86,233,2
3379,4,133.75,254.85,6.72,28.81,35.53,3.51,2,3.58,19.5,8.93,11.08,9.95,283,2
3380,4,158.06,285.43,8.56,30.4,38.96,3.78,2.11,3.77,19.09,10.6,12.65,12.85,321,4
3381,4,161.69,291.36,7.82,30.43,38.24,3.71,1.7,2.9,18.68,5.76,11.41,10.61,331,4
3382,4,149.97,260.76,9.53,31.25,40.78,3.93,1.74,3.12,18.93,5.17,11.12,9.71,331,4
3383,4,87.04,179.58,7.47,29.9,37.38,3.65,1.42,3.54,18.71,4.76,8.49,5.67,232,2
3393,4,103.52,189.41,7.5,78.17,86.29,14.23,1.66,3.32,19.76,6.81,10.37,9.68,237,2
3394,4,124.02,195.9,23.65,94.18,134.6,16.76,1.92,5.71,20.39,9.63,10.4,8.75,310,4
3395,4,66.92,138.18,17.36,86.72,105.11,15.85,1.36,3.24,23.5,8.01,8.29,7.29,170,0
3396,4,77.72,158.17,7.18,79.22,86.56,14.3,1.44,10,23.22,13.14,10.33,10.69,152,0
3397,4,77.71,151.64,5.23,77.4,96.5,14.02,1.25,3.27,19.23,6.07,8.03,7.3,144,0
3398,4,73.58,146.1,5.84,78.11,84.39,14.16,1.2,5.07,19.1,4.96,8.02,6.48,165,0
3399,4,61.57,131.82,5.4,77.61,96.68,14.11,1.23,3.64,20.29,4.7,7.62,5.88,126,0
3400,4,70.31,154.81,5.62,76.93,82.55,13.97,1.24,3.89,21.19,7.51,8.02,6.38,129,0
3401,4,74.04,163.69,6.29,76.91,83.2,13.92,1.2,3.09,22.55,7.6,8.52,7.13,149,0
3402,4,58.91,131.93,5.36,77.1,82.45,13.85,1.1,2.76,19.82,5.69,7.65,6.37,125,0
3403,4,58.9,110.95,6.49,78.77,88.61,14.05,0.82,3.24,17.78,4.59,7.61,5.88,123,0
3404,4,26.86,59.87,6.99,78.52,99.51,14,0.68,3.05,18.36,4.96,6.69,5.28,115,0
3405,4,62.55,122.25,7.44,79.24,87.27,14.09,1.98,3.1,17.4,4.21,7.93,6.53,127,0
3406,4,57.51,120.69,7.2,79.01,99.72,14.09,1.26,2.5,17.71,4.53,7.76,5.08,118,0
3407,4,70.09,160.56,15.42,60.24,81.09,12.37,1.04,5.11,17.25,5.34,7.16,5.29,132,0
3408,4,53.67,114.13,79.13,34.3,103.35,13.71,0.92,4.04,13.69,10.26,8.26,5.82,124,0
3409,4,45.61,101.86,56.09,45.86,115.47,14.12,0.94,3.4,15.74,10.4,8.29,6.12,127,0
3410,4,61.12,131.87,72.13,47.57,120.39,17.18,0.92,3.52,13.38,12.7,8.52,7.04,142,0
3411,4,56.96,135.69,71.85,53.42,140.88,16.33,0.92,2.97,13.15,12.27,8.08,6.53,150,0
3412,4,44.39,114.54,72.97,54.79,127.95,16.33,0.94,3.48,13.89,12.84,8.01,7.08,159,0
3413,4,31.79,96.3,66.62,59.83,141.5,15.06,0.82,2.56,13.11,11.53,7.19,6,149,0
3414,4,55.78,138.44,70.91,65.5,150.96,15.15,0.77,2.79,14.2,13.55,8.71,7.37,168,0
3415,4,50.4,131.72,57.49,70.81,141.86,14.1,0.66,2.66,14,11.04,7.43,5.76,165,0
3416,4,58.71,147.2,43.49,57.73,100.19,9.31,0.64,3.22,17.08,10.47,7.9,6.23,152,0
3417,4,48.6,136.91,28.66,49.52,82.69,4.74,0.63,2.82,13.82,11.9,7.85,6.61,130,0
3418,4,59.76,157.27,22.63,42.42,68.61,3.53,0.64,4.03,16.12,10.06,7.75,6.05,130,0
3419,4,67.11,160.02,18.92,49.05,71.77,4.75,0.61,3.38,14.43,11.24,8.26,6.4,141,0
3420,4,69.65,162.02,16.51,49.28,65.6,4.9,0.64,7.24,18.68,10.41,8.28,6.94,138,0
3421,4,67.14,166.85,30.58,61.48,102.14,12.93,0.63,4.55,19.32,11.45,8.25,7,145,0
3422,4,58.38,177.22,17.58,48.94,66.03,16.18,0.59,5.85,12.41,10.52,7.74,6.14,147,0
3423,4,48.16,87.04,12.79,35.24,60.95,14.94,0.52,2.83,12.54,8.39,6.72,5,123,0
3424,4,16.26,52.61,12.77,28.35,40.12,12.94,0.44,2.75,12.28,8.89,6.54,4.98,66,1
3425,4,15.91,50.34,16.37,33.5,48.87,13.41,0.53,2.63,11.79,9.27,6.58,5.08,58,1
3426,4,31.96,94.51,14.59,33.41,47,13.14,0.59,2.68,12.86,9.79,7.03,5.37,77,1
3427,4,68.32,181.17,18.6,30.42,53.75,13.4,1.53,5.1,12.65,9.66,7.47,5.87,129,0
3428,4,41.54,135.18,15.39,9.04,34.52,10.71,0.76,2.93,16.54,9.73,7.6,6.21,137,0
3429,4,53.44,159.72,15.28,11.58,37.88,11.03,0.72,3.1,15.95,9.86,7.97,6.1,133,0
3430,4,52.41,166.21,15.9,13.27,39.88,11.08,0.71,3.54,16.97,10.46,7.72,6.35,139,0
3431,4,69.46,205.16,16.51,13.13,40.59,10.95,0.66,3.72,12.89,11.28,8.05,6.1,162,0
3432,4,54.32,166.52,14.04,9.71,34.15,10.82,0.67,4.71,17.76,9.99,7.7,6.06,154,0
3433,4,43.14,122.51,14.65,10.2,36.43,11.57,0.61,4.93,16.89,9.66,7.48,5.83,124,0
3434,4,52.39,143.82,18.45,13.52,43.62,11.79,0.61,4.66,17.32,11.44,7.71,5.94,123,0
3435,4,29.75,89.22,16.36,10.8,38.61,11.45,0.54,4.14,17.81,10.52,7.12,5.48,114,0
3438,4,58.6,153.78,15.83,9.93,35.86,10.57,0.55,4.14,18.36,11.46,7.7,5.83,119,0
3439,4,57.97,149.22,15.54,9.32,34.92,10.55,0.47,3.58,17.94,11.71,7.72,5.89,133,0
3440,4,46.84,128.01,16.33,9.46,36.16,10.5,0.56,3.83,16.46,12.02,7.85,6.22,132,0
3441,4,16.77,58.27,14.4,7.56,21.96,10.14,0.62,3.5,17.53,9.62,6.53,4.94,79,1
3442,4,25.72,77.3,16.06,8.99,35.26,10.21,0.65,3.55,17.96,11.16,7.2,5.72,73,1
3443,4,19.79,57.47,16.75,9.64,36.17,9.78,0.74,4.36,18.93,10.36,6.66,5.17,64,1
3444,4,31.52,77.37,12.38,6.09,26.79,8.68,0.71,3.46,23.99,9.89,6.87,5.16,69,1
3445,4,47.8,85.78,10.74,4.86,22.62,7.06,0.63,2.86,25.36,8.82,5.26,3.68,73,1
3446,4,58.97,153.53,10.96,9.45,20.72,7.05,0.69,3.85,18.99,7.39,3.25,1.86,133,0
3447,4,51.79,140.04,11.78,10.5,22.28,7.13,0.75,3.92,17.81,6.29,2,1.25,132,0
3448,4,29.06,104.61,11.67,9.14,27.71,7.18,0.69,3.55,18.23,5.16,1.42,0.85,112,0
3449,4,28.63,90.7,12.54,9.03,21.57,7.76,0.69,3.71,26.84,4.03,1.32,0.72,91,1
3450,4,42.29,129.74,12.7,9.54,29.85,7.97,0.64,3.72,30.89,4.91,1.44,0.85,110,0
3451,4,48.66,155.13,12.38,8.7,28.47,7.78,0.57,8.52,31.15,4.89,1.59,1.25,128,0
3452,4,54.53,157.09,11.78,8,20.1,8.69,0.88,3.55,29.18,5.07,1.73,1.38,140,0
3453,4,40.21,138.73,11.93,8.52,20.46,9.31,0.92,3.09,31.63,4.12,1.3,0.95,125,0
3454,4,27.42,104.51,14.66,6.89,27.71,8.26,1.31,3.42,34.72,3.47,0.98,0.65,119,0
3455,4,20.92,81.28,15.02,13.74,38.41,9.66,0.78,6.25,40.85,3.52,0.97,0.76,88,1
3456,4,30.1,96.19,13.61,14.15,27.87,9.95,0.76,1.95,37.46,3.8,1.05,0.72,93,1
3457,4,43.88,137.19,13.38,15.46,28.84,9.99,0.89,2.35,34.26,4.61,1.34,0.9,112,0
3458,4,44.86,144.69,11.95,14.56,26.51,9.1,0.84,2.63,36.17,3.65,1.29,0.79,138,0
3459,4,56.47,158.03,13.78,12.76,35.48,8.69,0.75,2.59,23.55,4.01,1.48,0.96,124,0
3460,4,20.96,75.37,13.85,4.88,22.74,5.64,0.84,2.72,29.63,4.18,2.82,1.35,106,0
3461,4,15.44,57.58,13.73,4.94,28.91,5.64,0.86,2.45,29.02,4.28,2.68,1.55,72,1
3517,4,92.14,196.87,12.58,8.35,21.02,5.07,0.63,5.91,41.86,0.99,3.05,6.26,167,0
3518,4,84.74,196.78,12.55,8.41,20.97,5.04,0.66,5.46,38.02,1,3.05,6.23,206,2
3519,4,72.32,163.27,12.54,8.25,20.79,5.11,0.59,5.99,35.54,0.91,2.94,5.36,149,0
3520,4,67.71,106.21,12.56,8.47,21.03,5.02,0.69,5.01,38.8,0.84,2.93,5.54,131,0
3521,4,74.3,134.46,12.55,8.61,21.15,4.99,0.61,5.77,38.82,0.76,2.76,5.8,127,0
3522,4,104.43,152.02,12.52,8.4,20.93,5.07,0.63,5.03,40.73,0.84,2.82,5.98,252,2
3523,4,52.81,112.14,12.51,8.31,20.82,5.11,0.58,5.9,42.01,0.77,2.8,5.85,134,0
3524,4,51.88,100.81,12.53,8.33,20.86,5.1,0.63,5.56,41.07,0.79,2.79,5.78,102,0
3525,4,62.72,124.43,12.59,8.56,21.15,5.01,0.58,6.65,41.84,0.94,2.84,5.88,114,0
3526,4,74.08,126.26,12.63,8.34,20.97,5.08,0.53,5.85,42.98,0.97,2.83,5.77,132,0
3527,4,72.53,138.75,12.63,8.3,20.93,5.09,0.48,5.72,42.48,0.74,2.64,5.5,134,0
3528,4,108.07,76.5,12.63,8.24,20.87,5.11,0.97,7.2,40.83,0.86,2.76,5.75,225,2
3529,4,74.32,61.18,12.62,8.36,20.99,5.07,0.98,6.52,44.43,0.83,2.6,5.52,196,0
3530,4,66.86,67.01,12.53,8.69,21.22,4.99,0.74,6.42,41.35,0.8,2.5,5.17,113,0
3531,4,75.49,327.61,12.34,22.51,20.81,6.42,0.92,5.16,34.32,0.88,2.54,4.97,130,0
3532,4,99.15,331.54,0.4,8.55,8.62,1.51,1.56,6.51,23.58,0.75,2.62,4.6,254,2
3533,4,48.66,179.33,1.42,8.57,9.19,1.6,1.26,6.14,20.8,0.6,2.43,4.78,200,0
3534,4,67.25,199.98,0.76,8.4,8.35,1.58,1.24,6.23,23.36,0.58,2.46,5.24,164,0
3535,4,61.84,194.06,5.32,9.97,12.51,3.7,1.8,6.29,33.48,0.52,2.21,4.03,174,0
3536,4,59.22,208.58,12.27,9.6,21.53,4.87,1.23,3.13,38.93,0.6,2.46,4.18,164,0
3539,4,54.7,175.81,57.62,29.71,39.7,5.39,2.1,6.52,32.46,0.92,2.79,5.3,148,0
3540,4,29.87,135.11,25.06,6.05,21.99,4.36,0.75,11.15,28.03,0.53,2.43,4.35,133,0
3544,4,83.88,340.65,33.85,13.99,43.79,9.52,2.82,7.38,34.24,1.04,2.87,5.89,221,2
3550,4,39.78,171.73,23.1,15.08,38.19,5.6,0,7.19,46.14,0.73,2.64,4.7,154,0
3559,4,21.99,46.12,10.88,16.14,27.02,6.09,1.34,12.55,24.31,0.58,1.88,3.26,86,1
3567,4,57.96,119.11,8.37,9.12,17.48,5.47,0.16,10.6,37,1.08,2.37,4.54,101,0
3568,4,51.58,109.11,11.37,9.3,20.67,6.76,0.18,7.1,40.35,1.05,2.42,5.01,107,0
3569,4,41.99,92.76,11.28,9.2,20.48,6.75,0.46,6.03,38.63,0.82,2.2,4.42,95,1
3570,4,43.36,87.53,11.31,9.17,20.48,6.88,0.15,9.03,38.7,0.65,1.98,3.31,93,1
3571,4,52.64,68.71,8.86,10.8,19.66,7.33,0.23,7.33,25.46,0.71,2.1,3.85,88,1
3572,4,28.48,46.52,9.4,10.06,19.46,7.42,0.47,7.25,30.39,0.63,2.06,3.95,81,1
3577,4,28.43,47.3,9.81,9.41,18.61,7.55,0,3.1,29.37,2.58,1.77,5.09,49,3
3578,4,22.09,41.49,10.07,9.35,16.76,7.6,0,2.67,34.97,1.92,1.31,4.28,49,3
3579,4,24.9,53.83,10.48,8.82,14.49,7.69,0,3.84,40.09,1.33,0.84,3.01,55,1
3581,4,26.85,65.56,10.29,8.06,18.35,6.96,0.41,9.02,27.54,2.02,1.51,6.09,67,1
3582,4,27.89,60.21,9.6,5.99,15.59,4.69,0.42,6.07,30.64,2.21,1.69,8.48,64,1
3583,4,25.89,27.13,9.36,6.06,15.42,4.71,0.34,3.75,34.04,1.76,1.34,8.49,54,1
3584,4,23.24,40.44,9.38,6.02,12.91,4.71,0.36,4.05,39.98,1.54,0.93,6.25,50,3
3585,4,24.15,48.14,10.29,5.21,10.99,6.2,0.37,3.71,38.48,1.16,0.9,3.58,74,1
3586,4,28.38,51.05,10.73,4.85,14.59,6.7,0.37,3.45,31.95,1.54,1.19,4.75,54,1
3587,4,14.82,31.86,10.62,4.83,7.46,6.71,0.13,3.45,27.37,0.93,0.63,1.92,50,3
3613,4,19.92,37.9,13.48,12.06,25.24,6.42,1.01,8.09,32.38,2.35,1.35,4.98,42,3
3674,4,41.99,143.94,23.68,29.28,41.44,17.11,0.01,5.58,18.68,13.33,1.7,12.19,115,0
3675,4,59.95,182.15,31.6,29.53,59.14,16.11,0,5.17,18.41,15.45,1.97,11.45,145,0
3676,4,48.96,144.84,25.22,23.73,48.5,14.59,0,6.21,22.47,12.74,1.72,9.5,137,0
3677,4,61.79,184.57,25.79,24.41,49.42,14.69,0.01,6.63,21.24,12.82,1.46,8.39,152,0
3678,4,37.17,106.31,35.32,26.8,63.12,16.05,0,6.35,20.92,13.54,1.98,10.25,119,0
3679,4,42.12,120.38,31.86,27.04,59.9,15.65,0.01,6.02,22.48,18.73,2.63,11.32,107,0
3680,4,48.55,138.69,31.37,26.26,58.63,15.68,0,5.78,25.03,10.51,2.57,11.77,124,0
3681,4,45.78,130.79,33.67,28.65,63.32,16.09,0,5.84,15.61,15.23,2.52,13.46,122,0
3682,4,57.31,175.25,31.74,26.18,58.62,15.28,0.02,5.98,21.27,14.68,2.54,11.44,138,0
3683,4,57.94,171.82,23.42,20.66,42.66,12.92,0,6.3,24.7,12.43,1.96,9.24,144,0
3684,4,49.3,143.96,27.24,22.59,46.82,13.69,0.01,6.08,21.03,13.24,2.35,11.31,140,0
3685,4,116.63,306.18,23.71,21.4,41.97,13.08,0,6.32,19.98,13.12,2.22,9.26,251,2
3686,4,33.74,87.84,20.17,21.19,41.35,12.48,0.01,6,15.41,8.35,1.12,6.98,137,0
3687,4,48.76,139.29,22.89,27.79,50.66,13.46,0,6.47,14.1,7.09,0.91,8.81,112,0
3688,4,27.22,102.81,29.63,32.62,20.68,15,0,5.88,11.15,2.19,0.28,2.86,124,0
3691,4,73.92,213.3,34.67,43.28,75.25,16.74,0.32,19.13,11.34,11.65,2.66,14,146,0
3692,4,96.85,215.67,29.06,32.62,54.79,14.69,1.13,9.91,30.02,4.68,1.57,6.07,237,2
3693,4,60.41,112.53,32.1,38.15,70,14.92,0.81,3.2,27.13,5.89,2.74,11.45,124,0
3694,4,54.89,157.76,33.43,38.02,69.43,9.8,0.01,3.8,26.42,6.97,3.05,13.02,114,0
3695,4,62.42,178.25,30.03,34.95,62.91,8.94,0,3.59,22.36,6.25,2.07,9.36,158,0
3696,4,33.74,96.43,29.16,37.24,64.4,9.23,0,2.31,17.17,6.32,1.55,8.87,120,0
3703,4,48.16,128.53,21.63,29.8,49.43,7.38,0.01,8.56,24.92,6.41,1.62,7.84,117,0
3704,4,52.3,139.23,18.8,27.98,44.79,6.7,0.01,0.71,19.59,5.43,1.91,8.36,125,0
3705,4,93.43,147.22,19.47,28.7,46.17,6.87,0.01,5.36,14.99,5.65,1.94,7.91,140,0
3706,4,112.18,162.8,26.15,34.1,58.25,8.48,0,6.94,11.73,8.95,2.95,11.97,306,4
3710,4,63.86,142.12,24.13,33.08,55.21,8.12,0.01,4.71,16.83,7.99,2.81,12.22,135,0
3713,4,65.15,144.93,26.81,33.27,58.08,8.5,0.01,3.23,21.4,6.16,2.62,11.75,130,0
3714,4,62.87,139.7,25.09,31.37,54.46,8.06,0,7.56,20.76,5.99,2.37,9.59,135,0
3715,4,62.95,140.07,29.56,36.7,64.23,9.16,0.01,5.91,16.61,6.47,3.3,12.07,125,0
3717,4,53.8,123.95,28.33,33.28,47.57,8.6,0.01,9.49,23.99,6.18,1.8,8,101,0
3718,4,76.21,168.2,21.75,26.18,39.31,7.04,0.02,7.11,23.88,4.83,2.22,7.97,115,0
3719,4,61.69,137.47,27.29,33.08,55.41,8.51,0.01,4.06,19.18,5.55,2.84,10.88,127,0
3722,4,69.19,153.63,34.65,37.59,70.23,9.95,0.01,6.2,16.57,6.52,2.25,9.91,131,0
3724,4,54.54,121.13,36.59,41.71,76.3,10.68,0.01,3.5,14.76,6.15,2.11,10.59,131,0
3725,4,23.84,52.99,35.43,40.65,74.09,10.39,0.01,3.75,15.1,7.13,0.91,8.26,94,1
3726,4,34.41,76.5,32.68,39.35,70.02,9.81,0.01,0.87,14.24,8.47,0.86,7.87,91,1
3728,4,43.93,100.62,25.34,30.82,44.51,7.94,0.02,6.34,16.43,6.22,0.97,5.19,99,1
3731,4,61.91,138.56,24.94,31.59,53.92,7.86,0.02,4.16,15.63,6.76,2,7.42,118,0
3732,4,72.97,163.05,30.79,35.39,64.18,9.06,0.01,4.08,13.45,6.28,2.81,9.47,138,0
